point_index,x,y,z,x_D,y_D,z_D,nutEq_true,nut_pred,error,relative_error,ID,ax,theta,z_original,ax_d,z_d,nut
49780,-630.0,0.0,591.6672,-5.0,0.0,4.695771,5.0340304,1.1973267,-3.8367038,-0.76215345,3,-625.0,-1.5707963267948966,591.6672,-4.9603174603174605,4.695771,33.80935
53582,-630.0,0.0,341.8661,-5.0,0.0,2.713223,7.8748403,1.479866,-6.394974,-0.8120767,3,-625.0,-1.5707963267948966,341.8661,-4.9603174603174605,2.713223,33.80935
53583,-630.0,0.0,369.62192,-5.0,0.0,2.9335072,15.80842,1.2754707,-14.532949,-0.919317,3,-625.0,-1.5707963267948966,369.62192,-4.9603174603174605,2.9335072,31.857222
53593,-630.0,-8.881784e-16,397.3777,-5.0,-7.0490355e-18,3.1537912,11.620606,1.1887398,-10.431867,-0.8977041,3,-625.0,-1.5707963267948966,397.3777,-4.9603174603174605,3.1537912,31.006351
53602,-630.0,-8.881784e-16,425.1334,-5.0,-7.0490355e-18,3.3740745,5.758601,1.1654301,-4.593171,-0.7976192,3,-625.0,-1.5707963267948966,425.1334,-4.9603174603174605,3.3740745,32.958504
54045,-374.5,-1.8987572e-14,130.23436,-2.9722223,-1.5069501e-16,1.033606,5.257708,2.5346203,-2.7230878,-0.517923,4,-369.5,-1.5707963267948961,130.23436,-2.9325396825396823,1.033606,33.193073
54046,-378.0,-2.3305054e-14,130.23436,-3.0,-1.8496075e-16,1.033606,5.3674073,2.5371704,-2.830237,-0.52730054,4,-373.0,-1.570796326794896,130.23436,-2.9603174603174605,1.033606,33.20195
54119,-378.0,-2.323425e-14,126.76492,-3.0,-1.8439881e-16,1.0060709,4.895172,2.0402813,-2.8548908,-0.5832054,4,-373.0,-1.570796326794896,126.76492,-2.9603174603174605,1.0060709,28.1514
55227,-381.5,-2.3513916e-14,130.23436,-3.0277777,-1.8661838e-16,1.033606,5.4051533,2.5397148,-2.8654385,-0.53013086,4,-376.5,-1.570796326794896,130.23436,-2.988095238095238,1.033606,33.21079
55235,-381.5,-2.3640346e-14,126.76493,-3.0277777,-1.876218e-16,1.0060709,4.9537535,2.0481262,-2.9056273,-0.58655065,4,-376.5,-1.570796326794896,126.76493,-2.988095238095238,1.0060709,28.204248
55236,-385.0,-2.4046444e-14,126.764946,-3.0555556,-1.908448e-16,1.006071,4.9376416,2.0541935,-2.8834481,-0.58397275,4,-380.0,-1.570796326794896,126.764946,-3.015873015873016,1.006071,28.24234
55576,-616.0,-1.9652135e-14,102.47897,-4.888889,-1.5596932e-16,0.81332517,4.707435,0.7127638,-3.9946713,-0.84858763,4,-611.0,-1.570796326794895,102.47897,-4.849206349206349,0.81332517,13.960799
55579,-619.5,-1.6994383e-14,102.47903,-4.9166665,-1.3487606e-16,0.8133256,5.2391315,0.713212,-4.5259194,-0.8638683,4,-614.5,-1.5707963267948952,102.47903,-4.876984126984127,0.8133256,13.957537
55581,-630.0,-1.2028171e-14,105.94832,-5.0,-9.546168e-17,0.84085965,4.0865035,0.5257616,-3.560742,-0.87134194,4,-625.0,-1.570796326794896,105.94832,-4.9603174603174605,0.84085965,11.264765
55679,-623.0,-1.433663e-14,102.478905,-4.9444447,-1.1378278e-16,0.81332463,4.4498725,0.6515198,-3.7983527,-0.85358685,4,-618.0,-1.5707963267948954,102.478905,-4.904761904761905,0.81332463,13.121904
55777,-577.5,-5.5297254e-15,123.295494,-4.5833335,-4.388671e-17,0.97853565,4.753083,0.8136196,-3.9394636,-0.8288228,4,-572.5,-1.5707963267948963,123.295494,-4.5436507936507935,0.97853565,15.036768
55808,-616.0,-1.5909528e-14,133.7039,-4.888889,-1.262661e-16,1.0611421,4.8646054,0.9218378,-3.9427676,-0.81050104,4,-611.0,-1.5707963267948961,133.7039,-4.849206349206349,1.0611421,16.436954
55809,-612.5,-1.2623203e-14,133.70386,-4.861111,-1.0018415e-16,1.0611417,4.2855206,0.93053913,-3.3549814,-0.7828644,4,-607.5,-1.5707963267948963,133.70386,-4.821428571428571,1.0611417,16.571466
55811,-616.0,-1.6862442e-14,130.23447,-4.888889,-1.338289e-16,1.0336069,4.7100196,1.2588882,-3.4511313,-0.7327212,4,-611.0,-1.5707963267948961,130.23447,-4.849206349206349,1.0336069,20.463676
55818,-619.5,-1.653693e-14,133.70398,-4.9166665,-1.3124547e-16,1.0611427,4.4223022,0.85725784,-3.5650444,-0.8061512,4,-614.5,-1.5707963267948961,133.70398,-4.876984126984127,1.0611427,15.427713
55823,-626.5,-1.7791729e-14,133.7038,-4.9722223,-1.4120419e-16,1.0611413,5.1948414,0.7722769,-4.4225645,-0.85133773,4,-621.5,-1.5707963267948961,133.7038,-4.932539682539683,1.0611413,13.959577
55824,-626.5,-1.8240106e-14,130.23436,-4.9722223,-1.4476275e-16,1.033606,5.056312,0.7649908,-4.2913213,-0.84870577,4,-621.5,-1.5707963267948961,130.23436,-4.932539682539683,1.033606,13.809457
55838,-626.5,-1.7549696e-14,144.11209,-4.9722223,-1.392833e-16,1.1437467,4.38732,0.86424446,-3.5230756,-0.80301315,4,-621.5,-1.5707963267948963,144.11209,-4.932539682539683,1.1437467,14.884545
55839,-630.0,-1.8593593e-14,144.11209,-5.0,-1.475682e-16,1.1437467,6.939229,0.7652998,-6.173929,-0.889714,4,-625.0,-1.5707963267948961,144.11209,-4.9603174603174605,1.1437467,13.20278
55843,-626.5,-1.771105e-14,137.17323,-4.9722223,-1.405639e-16,1.0886765,4.531501,0.72086716,-3.8106337,-0.84092087,4,-621.5,-1.5707963267948961,137.17323,-4.932539682539683,1.0886765,12.655262
55968,-630.0,-1.396011e-14,161.45926,-5.0,-1.10794523e-16,1.2814227,6.5598626,0.8651848,-5.694678,-0.8681093,4,-625.0,-1.5707963267948963,161.45926,-4.9603174603174605,1.2814227,13.961413
55971,-630.0,-1.513302e-14,157.98982,-5.0,-1.2010333e-16,1.2538875,6.036488,0.8104191,-5.226069,-0.8657466,4,-625.0,-1.5707963267948963,157.98982,-4.9603174603174605,1.2538875,12.97305
55982,-630.0,-9.769963e-15,175.33699,-5.0,-7.753939e-17,1.3915634,5.125939,0.801425,-4.324514,-0.843653,4,-625.0,-1.5707963267948963,175.33699,-4.9603174603174605,1.3915634,12.119008
55983,-626.5,-9.744284e-15,175.337,-4.9722223,-7.7335584e-17,1.3915635,7.1401978,0.8918133,-6.2483845,-0.87509966,4,-621.5,-1.5707963267948963,175.337,-4.932539682539683,1.3915635,14.3936405
56104,-626.5,-8.8222674e-15,178.80644,-4.9722223,-7.0017993e-17,1.4190987,4.418301,0.7508917,-3.6674094,-0.8300497,4,-621.5,-1.5707963267948966,178.80644,-4.932539682539683,1.4190987,10.650769
56109,-630.0,-5.6813964e-15,185.7453,-5.0,-4.509045e-17,1.474169,6.2268085,0.90468884,-5.3221197,-0.8547107,4,-625.0,-1.5707963267948966,185.7453,-4.9603174603174605,1.474169,14.544915
56123,-626.5,-5.345983e-15,196.15361,-4.9722223,-4.2428436e-17,1.5567747,7.9781137,1.0878754,-6.8902383,-0.8636425,4,-621.5,-1.5707963267948966,196.15361,-4.932539682539683,1.5567747,18.272545
56124,-630.0,-2.1592706e-15,196.1536,-5.0,-1.7137068e-17,1.5567746,10.18732,0.99676514,-9.190555,-0.9021563,4,-625.0,-1.5707963267948966,196.1536,-4.9603174603174605,1.5567746,16.573967
56125,-630.0,-3.2389058e-15,192.68417,-5.0,-2.5705602e-17,1.5292394,7.7482743,0.798522,-6.9497523,-0.89694196,4,-625.0,-1.5707963267948966,192.68417,-4.9603174603174605,1.5292394,11.857492
56126,-626.5,-5.7011005e-15,192.68417,-4.9722223,-4.524683e-17,1.5292394,5.4869204,0.8464365,-4.640484,-0.8457356,4,-621.5,-1.5707963267948966,192.68417,-4.932539682539683,1.5292394,13.290919
56154,-630.0,-9.769963e-15,258.60342,-5.0,-7.753939e-17,2.0524082,4.930657,1.2659931,-3.6646638,-0.7432405,4,-625.0,-1.5707963267948966,258.60342,-4.9603174603174605,2.0524082,21.255356
56192,-630.0,3.7007435e-17,216.97021,-5.0,2.937098e-19,1.7219858,8.333984,1.1622257,-7.1717587,-0.8605438,4,-625.0,-1.5707963267948966,216.97021,-4.9603174603174605,1.7219858,19.035063
56196,-630.0,1.8503718e-17,223.90907,-5.0,1.468549e-19,1.7770561,8.300032,1.0119371,-7.2880945,-0.8780803,4,-625.0,-1.5707963267948966,223.90907,-4.9603174603174605,1.7770561,15.9963045
56270,-581.0,-3.6317995e-15,126.764946,-4.611111,-2.8823807e-17,1.006071,7.131101,1.2442703,-5.886831,-0.825515,4,-576.0,-1.5707963267948966,126.764946,-4.571428571428571,1.006071,20.374481
56271,-581.0,-2.6829311e-15,123.29552,-4.611111,-2.1293105e-17,0.97853583,6.4579134,0.80616665,-5.6517467,-0.87516606,4,-576.0,-1.5707963267948966,123.29552,-4.571428571428571,0.97853583,14.919711
56272,-577.5,-5.751527e-15,126.76493,-4.5833335,-4.564704e-17,1.0060709,5.413144,1.2699623,-4.143182,-0.76539284,4,-572.5,-1.5707963267948963,126.76493,-4.5436507936507935,1.0060709,20.655184
56306,-623.0,-1.7164328e-14,133.70381,-4.9444447,-1.3622483e-16,1.0611414,5.6195216,0.8597002,-4.7598214,-0.84701544,4,-618.0,-1.5707963267948961,133.70381,-4.904761904761905,1.0611414,15.462749
56307,-623.0,-1.7780885e-14,130.23439,-4.9444447,-1.4111814e-16,1.0336063,5.663992,1.0665169,-4.597475,-0.81170225,4,-618.0,-1.5707963267948961,130.23439,-4.904761904761905,1.0336063,18.212124
56324,-630.0,-1.8535437e-14,140.64265,-5.0,-1.4710665e-16,1.1162115,7.368892,0.6889734,-6.679919,-0.9065024,4,-625.0,-1.5707963267948961,140.64265,-4.9603174603174605,1.1162115,11.874588
56325,-626.5,-1.7630374e-14,140.64267,-4.9722223,-1.3992361e-16,1.1162117,5.7880754,0.7831707,-5.0049047,-0.8646924,4,-621.5,-1.5707963267948961,140.64267,-4.932539682539683,1.1162117,13.578515
56437,-623.0,-9.718605e-15,175.33704,-4.9444447,-7.7131786e-17,1.3915638,4.7441006,0.8617134,-3.8823872,-0.81836104,4,-618.0,-1.5707963267948963,175.33704,-4.904761904761905,1.3915638,13.608495
56501,-623.0,-9.237428e-15,178.80647,-4.9444447,-7.331292e-17,1.419099,4.2025504,0.80247307,-3.4000773,-0.8090509,4,-618.0,-1.5707963267948966,178.80647,-4.904761904761905,1.419099,11.918172
56502,-630.0,-7.0442517e-15,182.27586,-5.0,-5.590676e-17,1.4466338,5.1213446,0.64412594,-4.4772186,-0.87422717,4,-625.0,-1.5707963267948966,182.27586,-4.9603174603174605,1.4466338,9.466285
56636,-630.0,0.0,64.31512,-5.0,0.0,0.5104374,5.129438,0.34420586,-4.785232,-0.932896,4,-625.0,1.5707963267948966,64.31512,-4.9603174603174605,0.5104374,8.765119
56787,-630.0,9.251859e-18,67.78455,-5.0,7.342745e-20,0.5379726,4.9097037,0.5708103,-4.3388934,-0.88373834,4,-625.0,1.5707963267948966,67.78455,-4.9603174603174605,0.5379726,11.769784
56792,-616.0,-1.5509028e-14,81.66235,-4.888889,-1.2308752e-16,0.6481139,5.7995057,0.7707796,-5.028726,-0.86709565,4,-611.0,1.5707963267948948,81.66235,-4.849206349206349,0.6481139,14.745738
56801,-619.5,-1.1624832e-14,81.66239,-4.9166665,-9.226057e-17,0.6481142,5.79166,0.7948656,-4.996794,-0.86275685,4,-614.5,1.5707963267948952,81.66239,-4.876984126984127,0.6481142,15.029906
57139,-616.0,-1.6655287e-14,85.13179,-4.888889,-1.3218481e-16,0.6756491,5.386278,0.79322433,-4.593054,-0.85273236,4,-611.0,1.5707963267948932,85.13179,-4.849206349206349,0.6756491,14.932331
57145,-619.5,-1.24868394e-14,85.13183,-4.9166665,-9.91019e-17,0.6756494,5.4410114,0.79561806,-4.6453934,-0.8537739,4,-614.5,1.570796326794894,85.13183,-4.876984126984127,0.6756494,14.940012
58040,-388.5,-2.3931639e-14,130.23442,-3.0833333,-1.8993364e-16,1.0336065,5.2742677,2.5449314,-2.7293363,-0.51748157,4,-383.5,-1.570796326794896,130.23442,-3.0436507936507935,1.0336065,33.22836
58546,-462.0,-9.224669e-15,210.03134,-3.6666667,-7.321166e-17,1.6669154,4.7054787,1.4904327,-3.215046,-0.68325585,4,-457.0,-1.5707963267948966,210.03134,-3.626984126984127,1.6669154,24.16243
58554,-469.0,-7.588412e-15,210.03139,-3.7222223,-6.022549e-17,1.6669158,4.632559,1.4695683,-3.1629906,-0.68277395,4,-464.0,-1.5707963267948966,210.03139,-3.6825396825396823,1.6669158,23.861189
58635,-388.5,-2.445254e-14,126.764984,-3.0833333,-1.9406778e-16,1.0060713,4.8461814,2.0460854,-2.800096,-0.5777943,4,-383.5,-1.570796326794896,126.764984,-3.0436507936507935,1.0060713,28.164913
