point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
150280,-619.5,49.0,90.0,-4.9166665,0.3888889,0.71428573,14.826151,5.1592884,0.6853609,-9.6668625,-14.14079,-4.4739275,0.46281072,4,-614.5,3.141592653589793,90.0,-4.876984126984127,0.71428573
150307,-630.0,35.0,90.0,-5.0,0.2777778,0.71428573,11.19175,4.6024246,0.51838017,-6.589325,-10.673369,-4.0840445,0.6197971,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
150456,-626.5,-14.0,90.0,-4.9722223,-0.11111111,0.71428573,11.16028,4.721123,0.500432,-6.439157,-10.659848,-4.220691,0.65547264,4,-621.5,0.0,90.0,-4.932539682539683,0.71428573
150457,-630.0,-14.0,90.0,-5.0,-0.11111111,0.71428573,11.380983,9.374705,0.51530266,-2.006278,-10.865681,-8.859403,4.41584,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150463,-626.5,-10.5,90.0,-4.9722223,-0.083333336,0.71428573,12.139831,6.4482,0.5445528,-5.6916304,-11.595278,-5.9036474,1.0372506,4,-621.5,0.0,90.0,-4.932539682539683,0.71428573
150464,-630.0,-10.5,90.0,-5.0,-0.083333336,0.71428573,12.756083,11.844055,0.58425903,-0.91202736,-12.1718235,-11.259796,12.345898,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150730,-630.0,-3.5,90.0,-5.0,-0.027777778,0.71428573,12.957756,7.1791477,0.5842562,-5.7786083,-12.3735,-6.5948915,1.1412594,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150914,-626.5,-7.0,90.0,-4.9722223,-0.055555556,0.71428573,12.221622,5.510903,0.5454931,-6.7107196,-11.676129,-4.9654098,0.7399221,4,-621.5,0.0,90.0,-4.932539682539683,0.71428573
150915,-630.0,-7.0,90.0,-5.0,-0.055555556,0.71428573,14.202118,10.296815,0.65782356,-3.905303,-13.544294,-9.638991,2.4681802,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
157086,-630.0,-357.0,90.0,-5.0,-2.8333333,0.71428573,15.541973,6.032636,0.7638769,-9.509336,-14.778096,-5.2687597,0.5540618,3,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
157108,-630.0,-364.0,90.0,-5.0,-2.8888888,0.71428573,14.372115,5.747537,0.69031715,-8.624578,-13.681798,-5.0572195,0.586373,3,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
157460,-630.0,-427.0,90.0,-5.0,-3.3888888,0.71428573,17.535915,5.730831,0.92211723,-11.805084,-16.613798,-4.808714,0.4073426,3,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
